,Timestamp,What is your student number? This is to ensure that everyone who answers is in our cohort. Your student number is anonymous and will be deleted once verified.  ,What was your cumulative grade IN PERCENT (%) from first year?,Did you go through the co-op search process? (Any search in general),"If you said no to the previous question, please state your reasoning.",Through what platforms did you conduct your job search?,How many INTERNAL interviews did you land (through WW)?,How many EXTERNAL interviews did you land (outside WW)?,Did you receive a job offer from any of your interviews?,"How many technical interviews did you land? (this includes coding interviews, etc)",Technical Interview Difficulty (please answer ONLY if you received at least one technical interview),"What round were you hired in? If you were hired externally, select Round 1/Round 2/Continuous to indicate the time period when you were hired.",Hired externally or internally through WW?,What was your ideal first coop?,What were the following things you did to prepare for the coop search process?,To what extent was your job search experience impacted by COVID19?,OPTIONAL: Did you use a background filter for interviews?,What was the name of the company you worked at? ,"Is your coop in person, remote or mixed?",Location of co-op placement?,Why did you choose your coop?,What type of job did you get?,Describe your company/employer workplace size.,What is your hourly salary?,What skills (if any) do you think you've improved on?,Did you like your job? (this includes the work you did + projects),Did you like the environment that you worked in? ,Rate your stress levels during the work term,How productive do you feel you were during the term?,What kind of coop are you aiming for your next term?,What changes would you like to see in your next coop?,Any feedback or questions you'd like to see in future surveys?
0,8/13/2021 17:23:39,,94,Yes,,WaterlooWorks (WW),1,,Yes,0,,Round 1,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Mock Interviews, Online research/Templates",5,,William Osler Health System,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Administrative Work/Customer Service,200+ employees,$19 - $21,"Oral Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity",6,10,3,2,Mechanical Engineering/Technical Design,More engaging work,
1,8/13/2021 17:24:22,,94,Yes,,Both,12,1.0,Yes,1,2.0,Continuous,Internally through WW,UX/UI Development/Design,"Resume Critiques, Seeked Mentors, Online research/Templates",7,Yes,Bespoke Metrics Inc.,Remote,GTA (Greater Toronto Area),I took whatever job I could get,UX/UI Development/Design,25 - 50 employees,$16 - $18,"Oral Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution)",6,8,2,5,Software Development/Testing,"Higher pay, More engaging work",
2,8/13/2021 19:09:26,,91.8,Yes,,Both,2 (1 of which had 3 stages),,Yes,2,6.0,Round 1,Internally through WW,Software Development/Testing,"Resume Critiques, Coding Questions, Seeked Mentors, Online research/Templates",3,No,TD Innovation Lab,Remote,Kitchener-Waterloo,Genuine interest in company + role,Software Development/Testing,Up to 25 employees,$22 - $24,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Oral Communication, Problem Solving + Critical Thinking, Technical Communication",7,9,2,7,Research and Developement,"Change of in-person/remote working, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor",
3,8/13/2021 19:28:14,,93.32%,Yes,,Both,8,,Yes,1,7.0,Continuous,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Online research/Templates",10,No,Grobo,Mixed,Kitchener-Waterloo,Genuine interest in company + role,Mechanical Engineering/Technical Design or Drawing,Up to 25 employees,$16 - $18,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking",7,8,2,3,UX/UI Development/Design,Higher pay,
4,8/13/2021 19:51:14,,80%,Yes,,WaterlooWorks (WW),4,0.0,Yes,1,8.0,Continuous,Internally through WW,Software Development/Testing,"Resume Critiques, Mock Interviews, Seeked Mentors, Online research/Templates",6,No,Nanoleaf,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Research & Development,25 - 50 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Oral Communication, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution)",4,6,9,8,Software Development/Testing,"Higher pay, Change of in-person/remote working, Smaller/larger workplace, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor",nope :)
5,8/13/2021 20:33:35,,91.4,Yes,,Both,2,1.0,Yes,0,,Round 2,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Seeked Mentors",7,Yes,MSAM,Mixed,Kitchener-Waterloo,Location,Research & Development,25 - 50 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Technical Communication",6,8,2,5,UX/UI Development/Design,"Working in a different discipline, More engaging work",
6,8/13/2021 20:47:00,,85.5,Yes,,Both,0,1.0,Yes,1,4.0,Continuous,Externally,Software Development/Testing,"Resume Critiques, Coding Questions, Online research/Templates",10,,Westar Travel,In-Person,Other Place in Canada,I took whatever job I could get,Software Development/Testing,Up to 25 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Time Management + Productivity",8,9,7,6,Software Development/Testing,"Higher pay, Smaller/larger workplace, More engaging work",
7,8/13/2021 22:15:37,,81.64,Yes,,Both,4,0.0,Yes,0,,Continuous,Internally through WW,Product Development/Management,"Seeked Mentors, Online research/Templates",8,No,Engineers Without Borders,Remote,Kitchener-Waterloo,"I took whatever job I could get, Money, Location, Genuine interest in company + role",Product Development/Management,Up to 25 employees,$16 - $18,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity, Leadership",8,7,6,7,Research and Development,"Higher pay, Better location, Change of in-person/remote working, Smaller/larger workplace, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor","include an other section for the ""type of coop"" option"
8,8/14/2021 0:56:01,,89,Yes,,WaterlooWorks (WW),1,0.0,Yes,0,,Round 2,Internally through WW,Software Development/Testing,"Resume Critiques, Online research/Templates",5,No,University Health Network,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Software Development/Testing,200+ employees,$19 - $21,"Team Work, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity",6,7,3,5,Software Development/Testing,"Change of in-person/remote working, Smaller/larger workplace, More engaging work, Better working relationships with coworkers/supervisor",
9,8/14/2021 15:02:15,,95,Yes,,WaterlooWorks (WW),4,0.0,Yes,3,7.0,Continuous,Internally through WW,Software Development/Testing,"Resume Critiques, Coding Questions",6,No,Perspect Analytics,Remote,Kitchener-Waterloo,"I took whatever job I could get, Genuine interest in company + role",Software Development/Testing,Up to 25 employees,$25+,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking, Technical Communication",9,10,4,9,Software Development/Testing,"Higher pay, Change of in-person/remote working",
