,coopAcquired,coopSearch,coopPrep,jobBoard,externalInterview,internalInterview,numTechInt,techIntDif,bgFilter,typeAcquired,coopRound,covidImpact,reasonCoop,jobType,bmeRelated,,geolocation,workLocation,pay,companyName,companySize,likeCoop,likeEnv,stressLvl
0,1,1,"Side Projects, Develop New Skills",0,0,4-6,1-3,2,1,0,1,4,,QA,1,,Greater Toronto Area,1,,,0,4,5,2
1,1,1,"Peer Reviews for Resumé, Develop New Skills",0,0,1-3,1-3,2,0,0,0,2,"Interesting Field, Money",Research,1,,Greater Ottawa Area,1,22,University of Ottawa,1,4,3,3
2,1,1,Develop New Skills,0,0,7-10,1-3,5,0,0,0,4,Interesting Field,Data Science,1,,Other Canada,1,21,IntelliSports,0,4,4,4
3,1,1,"Peer Reviews for Resumé, Mock Interviews, Side Projects",0,1-3,1-3,0,,1,0,3,4,,Hardware,0,,Kitchener/Waterloo,0,22.4,University of Waterloo,0,5,5,4
4,1,1,"Peer Reviews for Resumé, Side Projects, Develop New Skills",0,1-3,7-10,0,,1,0,2,4,Interesting Field,PM,1,,Kitchener/Waterloo,1,21.5,Rocket Doctor,1,5,5,3
5,1,1,"Coding Questions, Develop New Skills",0,0,4-6,1-3,4,0,0,0,2,Money,Software,1,,Greater Toronto Area,1,35,Elekta Ltd,2,3,4,2
5,1,0,Peer Reviews for Resumé,3,0,1-3,0,,0,1,2,4,Interesting Field,PM,1,,Greater Toronto Area,0,20,HealthO,0,4,5,3
6,1,1,"Coding Questions, Side Projects, Develop New Skills",0,1-3,4-6,4-6,4,0,0,1,4,"Related to our program, In-person",Software,1,,Kitchener/Waterloo,0,20,Sterasure,0,5,5,2
7,1,1,"Peer Reviews for Resumé, Mock Interviews, Develop New Skills",0,0,7-10,1-3,3,0,0,0,1,"Interesting Field, Well-known company",QA,1,,Greater Toronto Area,1,22,UHN,0,5,5,3
8,1,1,Peer Reviews for Resumé,0,0,7-10,1-3,,0,0,3,1,,PM,1,,Other Ontario,0,18.75,Southmedic,1,4,4,3
9,1,1,"Coding Questions, Peer Reviews for Resumé, Mock Interviews, Side Projects",0,0,7-10,1-3,3,1,0,1,1,Interesting Field,Software,0,,Kitchener/Waterloo,0,16,University of Waterloo,0,4,4,4
