grade,coopSearch,jobBoard,internalInterview,externalInterview,jobOffer,numTechInt,techIntDif,coopRound,hireBoard,idealCoop,prep,covidImpact,bgFilter,companyName,workLocation,geolocation,reason,jobType,companySize,pay,improvedSkills,likeWork,likeEnv,stressLvl,productiveLvl,nextCoop,changesNextCoop
94,Yes,WaterlooWorks (WW),1,,Yes,0,,Round 1,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Mock Interviews, Online research/Templates",5,,William Osler Health System,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Administrative Work/Customer Service,200+ employees,$19 - $21,"Oral Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity",6,10,3,2,Mechanical Engineering/Technical Design,More engaging work
94,Yes,Both,12,1,Yes,1,2,Continuous,Internally through WW,UX/UI Development/Design,"Resume Critiques, Seeked Mentors, Online research/Templates",7,Yes,Bespoke Metrics Inc.,Remote,GTA (Greater Toronto Area),I took whatever job I could get,UX/UI Development/Design,25 - 50 employees,$16 - $18,"Oral Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution)",6,8,2,5,Software Development/Testing,"Higher pay, More engaging work"
91.8,Yes,Both,2 (1 of which had 3 stages),,Yes,2,6,Round 1,Internally through WW,Software Development/Testing,"Resume Critiques, Coding Questions, Seeked Mentors, Online research/Templates",3,No,TD Innovation Lab,Remote,Kitchener-Waterloo,Genuine interest in company + role,Software Development/Testing,Up to 25 employees,$22 - $24,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Oral Communication, Problem Solving + Critical Thinking, Technical Communication",7,9,2,7,Research and Developement,"Change of in-person/remote working, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor"
93.32%,Yes,Both,8,N/A,Yes,1,7,Continuous,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Online research/Templates",10,No,Grobo,Mixed,Kitchener-Waterloo,Genuine interest in company + role,Mechanical Engineering/Technical Design or Drawing,Up to 25 employees,$16 - $18,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking",7,8,2,3,UX/UI Development/Design,Higher pay
80%,Yes,WaterlooWorks (WW),4,0,Yes,1,8,Continuous,Internally through WW,Software Development/Testing,"Resume Critiques, Mock Interviews, Seeked Mentors, Online research/Templates",6,No,Nanoleaf,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Research & Development,25 - 50 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Oral Communication, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution)",4,6,9,8,Software Development/Testing,"Higher pay, Change of in-person/remote working, Smaller/larger workplace, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor"
91.4,Yes,Both,2,1,Yes,0,,Round 2,Internally through WW,Mechanical Engineering/Technical Design or Drawing,"Resume Critiques, Seeked Mentors",7,Yes,MSAM,Mixed,Kitchener-Waterloo,Location,Research & Development,25 - 50 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Technical Communication",6,8,2,5,UX/UI Development/Design,"Working in a different discipline, More engaging work"
85.5,Yes,Both,0,1,Yes,1,4,Continuous,Externally,Software Development/Testing,"Resume Critiques, Coding Questions, Online research/Templates",10,,Westar Travel,In-Person,Other Place in Canada,I took whatever job I could get,Software Development/Testing,Up to 25 employees,$19 - $21,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Time Management + Productivity",8,9,7,6,Software Development/Testing,"Higher pay, Smaller/larger workplace, More engaging work"
81.64,Yes,Both,4,0,Yes,0,,Continuous,Internally through WW,Product Development/Management,"Seeked Mentors, Online research/Templates",8,No,Engineers Without Borders,Remote,Kitchener-Waterloo,"I took whatever job I could get, Money, Location, Genuine interest in company + role",Product Development/Management,Up to 25 employees,$16 - $18,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity, Leadership",8,7,6,7,Research and Development,"Higher pay, Better location, Change of in-person/remote working, Smaller/larger workplace, Working in a different discipline, More engaging work, Better working relationships with coworkers/supervisor"
89,Yes,WaterlooWorks (WW),1,0,Yes,0,,Round 2,Internally through WW,Software Development/Testing,"Resume Critiques, Online research/Templates",5,No,University Health Network,Remote,GTA (Greater Toronto Area),I took whatever job I could get,Software Development/Testing,200+ employees,$19 - $21,"Team Work, Technical Communication, Soft Skills (Interpersonal, Empathy, Conflict Resolution), Time Management + Productivity",6,7,3,5,Software Development/Testing,"Change of in-person/remote working, Smaller/larger workplace, More engaging work, Better working relationships with coworkers/supervisor"
95,Yes,WaterlooWorks (WW),4,0,Yes,3,7,Continuous,Internally through WW,Software Development/Testing,"Resume Critiques, Coding Questions",6,No,Perspect Analytics,Remote,Kitchener-Waterloo,"I took whatever job I could get, Genuine interest in company + role",Software Development/Testing,Up to 25 employees,$25+,"Technological Agility (programming, working with machinery/lab equipment, computer software, etc), Team Work, Oral Communication, Problem Solving + Critical Thinking, Technical Communication",9,10,4,9,Software Development/Testing,"Higher pay, Change of in-person/remote working"
